V1,target_end_date,target,phase,lin_fit,train.ind
2020-01-19,2020-01-25,0,plateau,-2.9968989042308E-12,0
2020-01-26,2020-02-01,0,plateau,-2.26942674485308E-12,0
2020-02-02,2020-02-08,0,plateau,-1.54195458547537E-12,0
2020-02-09,2020-02-15,0,plateau,-8.14482426097662E-13,0
2020-02-16,2020-02-22,0,plateau,-8.70102667199497E-14,0
2020-02-23,2020-02-29,0,surge,6.40461892657762E-13,0
2020-03-01,2020-03-07,7,surge,6.99999999999752,0
2020-03-08,2020-03-14,57,surge,56.9999999999964,0
2020-03-15,2020-03-21,698,surge,1075.1,0
2020-03-22,2020-03-28,3001,surge,3429.7,0
2020-03-29,2020-04-04,7773,surge,5784.3,0
2020-04-05,2020-04-11,6956,decline,8138.89999999999,0
2020-04-12,2020-04-18,6997,decline,6996.99999999999,0
2020-04-19,2020-04-25,5349,decline,5349,0
2020-04-26,2020-05-02,4616,surge,4465.4,0
2020-05-03,2020-05-09,4498,surge,4682.9,0
2020-05-10,2020-05-16,4780,surge,4900.4,0
2020-05-17,2020-05-23,5311,surge,5117.9,0
2020-05-24,2020-05-30,5297,surge,5297,0
2020-05-31,2020-06-06,7334,surge,7334,0
2020-06-07,2020-06-13,10794,surge,10794,0
2020-06-14,2020-06-20,20245,surge,20202.3333333334,0
2020-06-21,2020-06-27,38748,surge,38833.3333333334,0
2020-06-28,2020-07-04,57507,surge,55565.8333333333,0
2020-07-05,2020-07-11,64459,surge,68341.3333333333,0
2020-07-12,2020-07-18,83058,plateau,83058,1
2020-07-19,2020-07-25,76881,decline,76019.1,0
2020-07-26,2020-08-01,65378,decline,63958.2,0
2020-08-02,2020-08-08,46472,decline,51897.3,0
2020-08-09,2020-08-15,42980,decline,39836.4,0
2020-08-16,2020-08-22,27883,decline,26505.5,0
2020-08-23,2020-08-29,22241,decline,24996,0
2020-08-30,2020-09-05,24864,decline,22962.8,0
2020-09-06,2020-09-12,17704,decline,20934.1,0
2020-09-13,2020-09-19,19662,decline,18905.4,0
2020-09-20,2020-09-26,17449,decline,17449,0
2020-09-27,2020-10-03,15909,decline,15909,0
2020-10-04,2020-10-10,14330,surge,15833.3333333333,0
2020-10-11,2020-10-17,23560,surge,20553.3333333333,0
2020-10-18,2020-10-24,23770,surge,23770,0
2020-10-25,2020-10-31,26296,surge,27086.8333333333,0
2020-11-01,2020-11-07,34530,surge,32948.3333333333,0
2020-11-08,2020-11-14,38019,surge,41681.1666666667,0
2020-11-15,2020-11-21,56731,surge,54375.6666666667,0
2020-11-22,2020-11-28,53470,surge,58180.6666666667,0
2020-11-29,2020-12-5,64341,plateau,64341,1
2020-12-06,2020-12-12,67335,surge,67335,0
2020-12-13,2020-12-19,76192,surge,68955.3,0
2020-12-20,2020-12-26,71423,surge,80939.1,0
2020-12-27,2021-1-2,90245,surge,92922.9,0
2021-01-03,2021-01-09,109864,decline,109864,0
2021-01-10,2021-01-16,95489,decline,95489,0
2021-01-17,2021-01-23,79728,decline,81370,0
2021-01-24,2021-01-30,73675,decline,70391,0
2021-01-31,2021-02-06,57770,decline,55804.2000000003,0
2021-02-07,2021-02-13,50578,decline,50632.9000000003,0
2021-02-14,2021-02-20,41770,decline,45461.6000000004,0
2021-02-21,2021-02-27,39975,decline,40290.3000000004,0
2021-02-28,2021-03-06,37215,decline,37215,0
2021-03-07,2021-03-13,32212,plateau,32212,0
2021-03-14,2021-03-20,31253,surge,31253,0
2021-03-21,2021-03-27,34700,surge,34700,0
2021-03-28,2021-04-03,37970,surge,38146.9999999999,0
2021-04-04,2021-04-10,41681,plateau,41681,1
2021-04-11,2021-04-17,43354,plateau,43354,1
2021-04-18,2021-04-24,41846,decline,41940,0
2021-04-25,2021-05-01,35024,decline,34836,0
2021-05-02,2021-05-08,27638,decline,27638,0
2021-05-09,2021-05-15,22947,decline,22947,0
2021-05-16,2021-05-22,18744,decline,17055.7,0
2021-05-23,2021-05-29,12552,decline,14818.4,0
2021-05-30,2021-06-05,12049,decline,12581.1,0
2021-06-06,2021-06-12,11454,decline,11454,0
2021-06-13,2021-06-19,10095,plateau,10095,0
2021-06-20,2021-06-26,11048,surge,11048,0
2021-06-27,2021-07-03,15684,surge,15684,0
2021-07-04,2021-07-10,23747,surge,23747,0
2021-07-11,2021-07-17,45449,surge,45449,0
2021-07-18,2021-07-24,73166,surge,73166.0000000001,0
2021-07-25,2021-07-31,110724,surge,110724,0
2021-08-01,2021-08-07,134751,surge,134751,0
2021-08-08,2021-08-14,151764,plateau,151423.333333333,1
2021-08-15,2021-08-21,150740,plateau,151421.333333333,1
2021-08-22,2021-08-28,151760,decline,151419.333333333,0
2021-08-29,2021-09-04,129202,decline,129202,0
2021-09-05,2021-09-11,100249,decline,100249,0
2021-09-12,2021-09-18,75998,decline,75998,0
2021-09-19,2021-09-25,54109,decline,54109,0
2021-09-26,2021-10-02,37299,decline,37299,0
2021-10-03,2021-10-09,25184,decline,25184,0
2021-10-10,2021-10-16,18807,decline,18807,0
2021-10-17,2021-10-23,14564,decline,14564,0
2021-10-24,2021-10-30,12151,decline,12151,0
2021-10-31,2021-11-6,10498,decline,11227.0923905102,0
2021-11-07,2021-11-13,10302,decline,9268.00000000004,0
2021-11-14,2021-11-20,9891,decline,6077.50000000005,0
2021-11-21,2021-11-27,0,surge,4354.33333333335,0
2021-11-28,2021-12-4,19555,surge,10846.3333333334,0
2021-12-05,2021-12-11,12984,surge,17338.3333333334,0
2021-12-12,2021-12-18,28841,surge,28840.9999999999,0
2021-12-19,2021-12-25,124865,surge,124865,0
2021-12-26,2022-1-1,302179,surge,302179,0
2022-01-02,2022-01-08,423150,plateau,423150,1
2022-01-09,2022-01-15,408841,plateau,408841,0
