V1,target_end_date,target,phase,lin_fit,train.ind
2020-01-19,2020-01-25,0,surge,-4.49065152982556E-12,0
2020-01-26,2020-02-01,0,surge,-4.85238063248018E-12,0
2020-02-02,2020-02-08,0,surge,-5.2141097351348E-12,0
2020-02-09,2020-02-15,0,surge,-5.57583883778943E-12,0
2020-02-16,2020-02-22,0,surge,-5.93756794044405E-12,0
2020-02-23,2020-02-29,0,surge,-6.29929704309867E-12,0
2020-03-01,2020-03-07,76,surge,75.9999999999889,0
2020-03-08,2020-03-14,512,surge,511.999999999985,0
2020-03-15,2020-03-21,11139,surge,11139,0
2020-03-22,2020-03-28,40683,surge,40683,0
2020-03-29,2020-04-04,61423,plateau,61423,0
2020-04-05,2020-04-11,67193,decline,67193,1
2020-04-12,2020-04-18,56448,decline,56448.0000000001,1
2020-04-19,2020-04-25,44669,decline,44669,0
2020-04-26,2020-05-02,30834,decline,30834.0000000001,0
2020-05-03,2020-05-09,20145,decline,20145,0
2020-05-10,2020-05-16,15110,decline,14696.8,0
2020-05-17,2020-05-23,11694,decline,12264.6,0
2020-05-24,2020-05-30,9734,decline,9832.40000000001,0
2020-05-31,2020-06-06,7656,decline,7400.20000000001,0
2020-06-07,2020-06-13,5314,decline,5200.5,0
2020-06-14,2020-06-20,4642,decline,4869,0
2020-06-21,2020-06-27,4651,surge,4513.6,0
2020-06-28,2020-07-04,4675,surge,4676.7,0
2020-07-05,2020-07-11,4431,surge,4839.8,0
2020-07-12,2020-07-18,5276,plateau,5276,0
2020-07-19,2020-07-25,4895,plateau,4838.5,0
2020-07-26,2020-08-01,4567,plateau,4680,0
2020-08-02,2020-08-08,4578,plateau,4521.5,0
2020-08-09,2020-08-15,4556,plateau,4556,0
2020-08-16,2020-08-22,4264,surge,4243.00000000001,0
2020-08-23,2020-08-29,4237,surge,4537.50000000001,0
2020-08-30,2020-09-05,5370,surge,4832.00000000001,0
2020-09-06,2020-09-12,4868,surge,5126.50000000001,0
2020-09-13,2020-09-19,5398,surge,5438.4761904762,0
2020-09-20,2020-09-26,5722,surge,6609.21904761906,0
2020-09-27,2020-10-03,8600,surge,7779.96190476191,0
2020-10-04,2020-10-10,9783,surge,8950.70476190477,0
2020-10-11,2020-10-17,9748,surge,10121.4476190476,0
2020-10-18,2020-10-24,10941,surge,10941,0
2020-10-25,2020-10-31,13711,surge,13711,0
2020-11-01,2020-11-07,18065,surge,19656.5,0
2020-11-08,2020-11-14,30943,surge,27760,0
2020-11-15,2020-11-21,34272,surge,34272,0
2020-11-22,2020-11-28,45483,surge,45483,0
2020-11-29,2020-12-5,61520,surge,61520.0000000001,0
2020-12-06,2020-12-12,69545,plateau,69764.8333333334,0
2020-12-13,2020-12-19,73550,plateau,73110.3333333334,0
2020-12-20,2020-12-26,76236,surge,76236,0
2020-12-27,2021-1-2,87651,surge,87651,0
2021-01-03,2021-01-09,107619,plateau,107619,0
2021-01-10,2021-01-16,109583,decline,109583,1
2021-01-17,2021-01-23,94445,decline,96899,1
2021-01-24,2021-01-30,85386,decline,80478,0
2021-01-31,2021-02-06,61603,decline,67669.5029154746,0
2021-02-07,2021-02-13,61239,decline,61238.9999999999,0
2021-02-14,2021-02-20,53895,plateau,53895,0
2021-02-21,2021-02-27,50605,surge,47723.2,0
2021-02-28,2021-03-06,50953,surge,49500.3,0
2021-03-07,2021-03-13,47683,surge,51277.4,0
2021-03-14,2021-03-20,44358,surge,53054.5,0
2021-03-21,2021-03-27,62788,surge,54831.6,0
2021-03-28,2021-04-03,56279,plateau,56279,0
2021-04-04,2021-04-10,51863,decline,51863,1
2021-04-11,2021-04-17,43307,decline,43307,1
2021-04-18,2021-04-24,33758,decline,33758,0
2021-04-25,2021-05-01,24993,decline,24993,0
2021-05-02,2021-05-08,18031,decline,17749.9,0
2021-05-09,2021-05-15,13570,decline,14088.8,0
2021-05-16,2021-05-22,10622,decline,10427.7,0
2021-05-23,2021-05-29,6810,decline,6810,0
2021-05-30,2021-06-05,4320,decline,4320.00000000001,0
2021-06-06,2021-06-12,3575,decline,3483.5,0
2021-06-13,2021-06-19,2606,decline,2788.99999999999,0
2021-06-20,2021-06-26,2186,surge,2186,0
2021-06-27,2021-07-03,2424,surge,2424,0
2021-07-04,2021-07-10,3526,surge,3526,0
2021-07-11,2021-07-17,5843,surge,5843,0
2021-07-18,2021-07-24,9626,surge,9316.33333333334,0
2021-07-25,2021-07-31,15229,surge,15848.3333333334,0
2021-08-01,2021-08-07,22690,surge,22380.3333333334,0
2021-08-08,2021-08-14,28388,surge,28846.2,0
2021-08-15,2021-08-21,31615,surge,30276.6,0
2021-08-22,2021-08-28,29810,surge,31707,0
2021-08-29,2021-09-04,34749,surge,33137.4,0
2021-09-05,2021-09-11,33973,plateau,33973,0
2021-09-12,2021-09-18,34826,plateau,34826,0
2021-09-19,2021-09-25,35807,plateau,35355.5,0
2021-09-26,2021-10-02,33800,plateau,34703,0
2021-10-03,2021-10-09,34502,plateau,34502,0
2021-10-10,2021-10-16,32364,decline,32364,0
2021-10-17,2021-10-23,27946,plateau,27946,0
2021-10-24,2021-10-30,25768,surge,25768,0
2021-10-31,2021-11-6,28737,surge,28737,0
2021-11-07,2021-11-13,36766,surge,36766,0
2021-11-14,2021-11-20,43628,plateau,43628,0
2021-11-21,2021-11-27,44748,surge,44747.9999999999,0
2021-11-28,2021-12-4,59117,surge,59117.0000000001,0
2021-12-05,2021-12-11,68702,surge,68702,0
2021-12-12,2021-12-18,96127,surge,66683.1666666666,0
2021-12-19,2021-12-25,167569,surge,226456.666666667,0
2021-12-26,2022-1-1,415674,surge,386230.166666667,0
2022-01-02,2022-01-08,539437,decline,539437,1
2022-01-09,2022-01-15,403723,decline,403723,0
