,method,fct_mean,fct_std,location,forecast_date,target_end_date,target,FIPS,cases,q_0.025,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.975,wis
34357,AR_spatial,5179.681110558825,630.6920123797572,36,2022-01-03,2022-01-08,1-step_ahead,36055,5122.0,3943.5474809574102,4371.416774717072,4754.2858126781375,5179.681110558825,5605.0764084395105,5987.945446400578,6415.814740160239,132.85650081947912
34358,AR_spatial,2484.856923465115,413.6871355848784,36,2021-12-27,2022-01-08,2-step_ahead,36055,5122.0,1674.0450368512152,1954.6955272106527,2205.829190725138,2484.856923465115,2763.884656205092,3015.018319719577,3295.6688100790147,2256.0247120615245
34359,AR_spatial,2727.393879209821,388.23283564131316,36,2021-12-20,2022-01-08,3-step_ahead,36055,5122.0,1966.4715037369888,2229.853480897877,2465.5348108801954,2727.393879209821,2989.252947539447,3224.9342775217656,3488.3162546826534,2036.9380895005904
34360,AR_spatial,3281.6503693119184,353.7447924367312,36,2021-12-13,2022-01-08,4-step_ahead,36055,5122.0,2588.3233164173284,2828.3081767613758,3043.053132628103,3281.6503693119184,3520.2476059957344,3734.992561862461,3974.977422206509,1514.4544670788807
34361,AR,5205.717020263424,905.5893928766741,36,2022-01-03,2022-01-08,1-step_ahead,36055,5122.0,3430.7944254436493,4045.157516081738,4594.906256881815,5205.717020263424,5816.527783645033,6366.27652444511,6980.6396150832,190.89197782852642
34362,AR,2491.492368289372,384.05377348630907,36,2021-12-27,2022-01-08,2-step_ahead,36055,5122.0,1738.760804129502,1999.307653624681,2232.4520345487285,2491.492368289372,2750.532702030015,2983.6770829540624,3244.2239324492407,2276.6896532666433
34363,AR,3026.751166780432,214.7078036651002,36,2021-12-20,2022-01-08,3-step_ahead,36055,5122.0,2605.9316043971385,2751.5920448587804,2881.932953921209,3026.751166780432,3171.569379639655,3301.9102887020836,3447.570729163725,1897.4445508678366
34364,AR,3365.212079608198,228.7120124003476,36,2021-12-13,2022-01-08,4-step_ahead,36055,5122.0,2916.9447724718384,3072.1058420576765,3210.9481714974445,3365.212079608198,3519.475987718952,3658.31831715872,3813.4793867445587,1546.081952998848
34365,ARIMA,2354.426735245624,664.6267873100458,36,2021-12-27,2022-01-08,2-step_ahead,36055,5122.0,1051.7821689573718,1502.673235465557,1906.1427794992471,2354.426735245624,2802.7106909920008,3206.1802350256908,3657.0713015338756,2155.271231705496
34366,ARIMA,2244.3011247746663,1290.177454978994,36,2021-12-13,2022-01-08,4-step_ahead,36055,5122.0,0.0,590.8721875159882,1374.0896554572682,2244.3011247746663,3114.5125940920643,3897.730062033344,4773.002470199041,1687.0631129010367
