,method,fct_mean,fct_std,location,forecast_date,target_end_date,target,FIPS,cases,q_0.025,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.975,wis
6988,AR_spatial,906.0260889675716,65.12566470954567,12,2022-01-03,2022-01-08,1-step_ahead,12113,1917.0,778.3821316676308,822.5641914019208,862.0994956462763,906.0260889675716,949.9526822888668,989.4879865332224,1033.6700462675124,950.9754612758251
6989,AR_spatial,251.68124211584453,30.741894307462392,12,2021-12-27,2022-01-08,2-step_ahead,12113,1917.0,191.42823645668133,212.28391933830943,230.94614950384988,251.68124211584453,272.4163347278392,291.0785648933796,311.93424777500775,1636.9971121972324
6990,AR_spatial,65.65581815067097,7.50474188150488,12,2021-12-20,2022-01-08,3-step_ahead,12113,1917.0,50.946794349652045,56.03810444342026,60.593946673728674,65.65581815067097,70.71768962761327,75.27353185792168,80.36484195168991,1844.4302734735465
6991,AR_spatial,85.97091964990852,7.615480326175712,12,2021-12-13,2022-01-08,4-step_ahead,12113,1917.0,71.04485248563078,76.21128891552394,80.83435622708309,85.97091964990852,91.10748307273396,95.73055038429312,100.89698681418626,1824.013151748668
6992,AR,1503.098311446437,94.09750521911148,12,2022-01-03,2022-01-08,1-step_ahead,12113,1917.0,1318.6705901819087,1382.5075063190436,1439.630508657124,1503.098311446437,1566.56611423575,1623.6891165738305,1687.5260327109656,327.2122940684563
6993,AR,53.449414235201594,0.5264211200633596,12,2021-12-27,2022-01-08,2-step_ahead,12113,1917.0,52.417647799176166,52.774778424648645,53.09434858543212,53.449414235201594,53.80447988497107,54.12405004575454,54.48118067122702,1863.065608739784
6994,AR,170.33519005353338,8.053311129294812,12,2021-12-20,2022-01-08,3-step_ahead,12113,1917.0,154.55099028381997,160.01445656796787,164.903314241684,170.33519005353338,175.76706586538276,180.6559235390989,186.1193898232468,1739.2455200962936
6995,AR,281.5912823398468,13.287508670094464,12,2021-12-13,2022-01-08,4-step_ahead,12113,1917.0,255.54824390219795,264.5626548014999,272.62899393622655,281.5912823398468,290.55357074346716,298.6199098781938,307.6343207774957,1623.167308303509
6996,ARIMA,1.0,104.40452912127606,12,2021-12-27,2022-01-08,2-step_ahead,12113,1917.0,0.0,0.0,0.0,1.0,71.41978476634903,134.79978774531816,205.6291169005644,1809.6077038504004
6997,ARIMA,47.1898470854119,348.7062394753801,12,2021-12-13,2022-01-08,4-step_ahead,12113,1917.0,0.0,0.0,0.0,47.1898470854119,282.38863144097604,494.0748742002555,730.6415176415561,1519.1630675416613
6998,ARIMA,17.352388715452335,2581.377179328991,12,2021-12-20,2022-01-08,3-step_ahead,12113,1917.0,0.0,0.0,0.0,17.352388715452335,1758.4648375629295,3325.5203541456262,5076.7586907138675,573.5560514721387
6999,ARIMA,143.29924091894233,1370.2150812612838,12,2022-01-03,2022-01-08,1-step_ahead,12113,1917.0,0.0,0.0,0.0,143.29924091894233,1067.4952687937694,1899.3005234421626,2828.871451264682,651.8800694653921
7000,PatchSim_adpt,3015.0,1135.9948979591852,12,2021-12-27,2022-01-08,2-step_ahead,12113,1917.0,788.4909133787432,1559.1639600697274,2248.7830850514856,3015.0,3781.216914948514,4470.836039930273,5241.509086621257,476.1097728122457
7001,PatchSim_adpt,3385.0,1253.724489795919,12,2021-12-20,2022-01-08,3-step_ahead,12113,1917.0,927.745153464144,1778.2874173404346,2539.3756820628405,3385.0,4230.62431793716,4991.712582659566,5842.254846535856,635.2551713971791
7002,PatchSim_adpt,3535.0,1279.1836734693884,12,2021-12-13,2022-01-08,4-step_ahead,12113,1917.0,1027.8460703883543,1895.6601606462125,2672.203723626726,3535.0,4397.796276373274,5174.339839353787,6042.153929611645,699.6650074756293
7003,lstm,387.7751902770996,168.322388336072,12,2021-12-13,2022-01-08,4-step_ahead,12113,1917.0,57.869371346633606,172.06136998880038,274.24346461589454,387.7751902770996,501.3069159383048,603.4890105653989,717.6810092075658,1374.154110567133
