,V1,phase,state
0,2020-01-19,Surge,69
1,2020-01-26,Surge,69
2,2020-02-02,Surge,69
3,2020-02-09,Surge,69
4,2020-02-16,Surge,69
5,2020-02-23,Surge,69
6,2020-03-01,Surge,69
7,2020-03-08,Surge,69
8,2020-03-15,Surge,69
9,2020-03-22,Surge,69
10,2020-03-29,Surge,69
11,2020-04-05,Surge,69
12,2020-04-12,Decline,69
13,2020-04-19,Decline,69
14,2020-04-26,Surge,69
15,2020-05-03,Surge,69
16,2020-05-10,Surge,69
17,2020-05-17,Decline,69
18,2020-05-24,Decline,69
19,2020-05-31,Surge,69
20,2020-06-07,Surge,69
21,2020-06-14,Decline,69
22,2020-06-21,Plateau,69
23,2020-06-28,Surge,69
24,2020-07-05,Surge,69
25,2020-07-12,Surge,69
26,2020-07-19,Surge,69
27,2020-07-26,Surge,69
28,2020-08-02,Surge,69
29,2020-08-09,Decline,69
30,2020-08-16,Decline,69
31,2020-08-23,Decline,69
32,2020-08-30,Surge,69
33,2020-09-06,Surge,69
34,2020-09-13,Surge,69
35,2020-09-20,Surge,69
36,2020-09-27,Decline,69
37,2020-10-04,Surge,69
38,2020-10-11,Surge,69
39,2020-10-18,Surge,69
40,2020-10-25,Decline,69
41,2020-11-01,Decline,69
42,2020-11-08,Decline,69
43,2020-11-15,Decline,69
44,2020-11-22,Decline,69
45,2020-11-29,Surge,69
46,2020-12-06,Surge,69
47,2020-12-13,Decline,69
48,2020-12-20,Decline,69
49,2020-12-27,Decline,69
50,2021-01-03,Surge,69
51,2021-01-10,Decline,69
52,2021-01-17,Decline,69
53,2021-01-24,Plateau,69
54,2021-01-31,Plateau,69
55,2021-02-07,Plateau,69
56,2021-02-14,Surge,69
57,2021-02-21,Surge,69
58,2021-02-28,Decline,69
59,2021-03-07,Decline,69
60,2021-03-14,Decline,69
61,2021-03-21,Decline,69
62,2021-03-28,Decline,69
63,2021-04-04,Surge,69
64,2021-04-11,Surge,69
65,2021-04-18,Surge,69
66,2021-04-25,Surge,69
67,2021-05-02,Surge,69
68,2021-05-09,Surge,69
69,2021-05-16,Surge,69
70,2021-05-23,Decline,69
71,2021-05-30,Decline,69
72,2021-06-06,Plateau,69
73,2021-06-13,Plateau,69
74,2021-06-20,Surge,69
75,2021-06-27,Surge,69
76,2021-07-04,Surge,69
77,2021-07-11,Surge,69
78,2021-07-18,Surge,69
79,2021-07-25,Surge,69
80,2021-08-01,Surge,69
81,2021-08-08,Decline,69
82,2021-08-15,Decline,69
83,2021-08-22,Decline,69
84,2021-08-29,Decline,69
85,2021-09-05,Decline,69
86,2021-09-12,Surge,69
87,2021-09-19,Surge,69
88,2021-09-26,Surge,69
89,2021-10-03,Surge,69
90,2021-10-10,Surge,69
91,2021-10-17,Surge,69
92,2021-10-24,Surge,69
93,2021-10-31,Surge,69
94,2021-11-07,Surge,69
95,2021-11-14,Surge,69
96,2021-11-21,Surge,69
97,2021-11-28,Surge,69
98,2021-12-05,Surge,69
99,2021-12-12,Decline,69
100,2021-12-19,Decline,69
101,2021-12-26,Decline,69
102,2022-01-02,Decline,69
103,2022-01-09,Decline,69
104,2020-01-19,Surge,05
105,2020-01-26,Surge,05
106,2020-02-02,Surge,05
107,2020-02-09,Surge,05
108,2020-02-16,Surge,05
109,2020-02-23,Surge,05
110,2020-03-01,Surge,05
111,2020-03-08,Surge,05
112,2020-03-15,Surge,05
113,2020-03-22,Surge,05
114,2020-03-29,Surge,05
115,2020-04-05,Surge,05
116,2020-04-12,Surge,05
117,2020-04-19,Surge,05
118,2020-04-26,Surge,05
119,2020-05-03,Surge,05
120,2020-05-10,Surge,05
121,2020-05-17,Surge,05
122,2020-05-24,Plateau,05
123,2020-05-31,Surge,05
124,2020-06-07,Surge,05
125,2020-06-14,Surge,05
126,2020-06-21,Surge,05
127,2020-06-28,Surge,05
128,2020-07-05,Surge,05
129,2020-07-12,Surge,05
130,2020-07-19,Surge,05
131,2020-07-26,Decline,05
132,2020-08-02,Decline,05
133,2020-08-09,Decline,05
134,2020-08-16,Surge,05
135,2020-08-23,Surge,05
136,2020-08-30,Surge,05
137,2020-09-06,Surge,05
138,2020-09-13,Surge,05
139,2020-09-20,Surge,05
140,2020-09-27,Surge,05
141,2020-10-04,Surge,05
142,2020-10-11,Surge,05
143,2020-10-18,Surge,05
144,2020-10-25,Surge,05
145,2020-11-01,Surge,05
146,2020-11-08,Surge,05
147,2020-11-15,Surge,05
148,2020-11-22,Surge,05
149,2020-11-29,Surge,05
150,2020-12-06,Surge,05
151,2020-12-13,Surge,05
152,2020-12-20,Surge,05
153,2020-12-27,Surge,05
154,2021-01-03,Surge,05
155,2021-01-10,Decline,05
156,2021-01-17,Decline,05
157,2021-01-24,Decline,05
158,2021-01-31,Decline,05
159,2021-02-07,Decline,05
160,2021-02-14,Decline,05
161,2021-02-21,Surge,05
162,2021-02-28,Surge,05
163,2021-03-07,Decline,05
164,2021-03-14,Decline,05
165,2021-03-21,Decline,05
166,2021-03-28,Decline,05
167,2021-04-04,Surge,05
168,2021-04-11,Surge,05
169,2021-04-18,Surge,05
170,2021-04-25,Surge,05
171,2021-05-02,Surge,05
172,2021-05-09,Surge,05
173,2021-05-16,Surge,05
174,2021-05-23,Surge,05
175,2021-05-30,Surge,05
176,2021-06-06,Surge,05
177,2021-06-13,Surge,05
178,2021-06-20,Surge,05
179,2021-06-27,Surge,05
180,2021-07-04,Surge,05
181,2021-07-11,Surge,05
182,2021-07-18,Surge,05
183,2021-07-25,Surge,05
184,2021-08-01,Surge,05
185,2021-08-08,Decline,05
186,2021-08-15,Decline,05
187,2021-08-22,Decline,05
188,2021-08-29,Decline,05
189,2021-09-05,Decline,05
190,2021-09-12,Decline,05
191,2021-09-19,Decline,05
192,2021-09-26,Decline,05
193,2021-10-03,Decline,05
194,2021-10-10,Decline,05
195,2021-10-17,Decline,05
196,2021-10-24,Decline,05
197,2021-10-31,Surge,05
198,2021-11-07,Surge,05
199,2021-11-14,Surge,05
200,2021-11-21,Surge,05
201,2021-11-28,Surge,05
202,2021-12-05,Surge,05
203,2021-12-12,Surge,05
204,2021-12-19,Surge,05
205,2021-12-26,Surge,05
206,2022-01-02,Surge,05
207,2022-01-09,Surge,05
208,2020-01-19,Surge,40
209,2020-01-26,Surge,40
210,2020-02-02,Surge,40
211,2020-02-09,Surge,40
212,2020-02-16,Surge,40
213,2020-02-23,Surge,40
214,2020-03-01,Surge,40
215,2020-03-08,Surge,40
216,2020-03-15,Surge,40
217,2020-03-22,Surge,40
218,2020-03-29,Surge,40
219,2020-04-05,Decline,40
220,2020-04-12,Decline,40
221,2020-04-19,Plateau,40
222,2020-04-26,Plateau,40
223,2020-05-03,Plateau,40
224,2020-05-10,Plateau,40
225,2020-05-17,Plateau,40
226,2020-05-24,Plateau,40
227,2020-05-31,Plateau,40
228,2020-06-07,Surge,40
229,2020-06-14,Surge,40
230,2020-06-21,Surge,40
231,2020-06-28,Surge,40
232,2020-07-05,Surge,40
233,2020-07-12,Surge,40
234,2020-07-19,Surge,40
235,2020-07-26,Surge,40
236,2020-08-02,Decline,40
237,2020-08-09,Decline,40
238,2020-08-16,Plateau,40
239,2020-08-23,Plateau,40
240,2020-08-30,Surge,40
241,2020-09-06,Surge,40
242,2020-09-13,Surge,40
243,2020-09-20,Plateau,40
244,2020-09-27,Plateau,40
245,2020-10-04,Plateau,40
246,2020-10-11,Plateau,40
247,2020-10-18,Plateau,40
248,2020-10-25,Plateau,40
249,2020-11-01,Surge,40
250,2020-11-08,Surge,40
251,2020-11-15,Surge,40
252,2020-11-22,Plateau,40
253,2020-11-29,Plateau,40
254,2020-12-06,Surge,40
255,2020-12-13,Surge,40
256,2020-12-20,Surge,40
